訂單編號,訂單日期,出貨日期,配送方式,客戶編號,城市,國家,產品名稱,產品類別,銷售數量,銷售金額,商品利潤
P00043,2018-01-11,2018-01-18,空運,C0007,Lisbon,Portugal,護貝機,辦公品,4,554,40
P00044,2018-01-11,2018-01-18,航運,C0007,Vienna,Austria,投影機,家電,1,5,0
P00045,2018-01-11,2018-01-18,航運,C0006,Lisbon,Portugal,吸塵器,家電,5,188,2
P00046,2018-01-11,2018-01-18,空運,C0006,Berlin,Germany,桌子,傢俱,9,334,13
P00047,2018-01-11,2018-01-16,航運,C0003,Vienna,Austria,投影機,家電,2,78,24
P00048,2018-01-11,2018-01-16,航運,C0004,London,United Kingdom,桌子,傢俱,3,697,-343
P00049,2018-01-11,2018-01-15,航運,C0006,Vienna,Austria,桌子,傢俱,4,115,-48
P00050,2018-01-13,2018-01-17,航運,C0001,Lisbon,Portugal,椅子,傢俱,2,16,0
P00051,2018-01-14,2018-01-21,航運,C0001,Barcelona,Spain,護貝機,辦公品,3,99,-24
P00052,2018-01-14,2018-01-21,空運,C0001,Barcelona,Spain,電腦椅,傢俱,3,80,6
P00053,2018-01-15,2018-01-15,航運,C0004,London,United Kingdom,護貝機,辦公品,4,150,-49
P00054,2018-01-15,2018-01-15,航運,C0001,Berlin,Germany,沙發,傢俱,3,51,0
P00055,2018-01-17,2018-01-21,空運,C0003,Amsterdam,Netherlands,延長線,辦公品,2,19,5
P00056,2018-01-17,2018-01-18,航運,C0005,Amsterdam,Netherlands,沙發,傢俱,4,37,-9
P00057,2018-01-19,2018-01-23,空運,C0001,Lisbon,Portugal,護貝機,辦公品,3,278,-106
P00058,2018-01-20,2018-01-24,航運,C0007,Barcelona,Spain,冷氣機,家電,3,139,28
P00059,2018-01-21,2018-01-25,航運,C0004,Bristol,United Kingdom,延長線,辦公品,2,52,-24
P00060,2018-01-22,2018-01-23,空運,C0001,Berlin,Germany,護貝機,辦公品,1,6,-4
P00061,2018-01-22,2018-01-23,空運,C0002,Madrid,Spain,投影機,家電,6,60,-34
P00062,2018-01-24,2018-01-29,航運,C0007,Birmingham,United Kingdom,投影機,家電,3,12,4
P00063,2018-01-24,2018-01-29,空運,C0005,Hamburg,Germany,桌子,傢俱,3,111,9
P00064,2018-01-24,2018-01-30,空運,C0003,Barcelona,Spain,椅子,傢俱,5,59,28
P00065,2018-01-24,2018-01-30,航運,C0007,Birmingham,United Kingdom,麥片,食品,14,420,147
P00066,2018-01-24,2018-01-30,航運,C0007,Bristol,United Kingdom,沙發,傢俱,2,220,9
P00067,2018-01-24,2018-01-30,航運,C0002,Paris,France,投影機,家電,8,139,65
P00068,2018-01-25,2018-01-27,航運,C0001,Hamburg,Germany,沙發,傢俱,2,98,34
P00069,2018-01-26,2018-01-27,空運,C0007,Bern,Switzerland,護貝機,辦公品,1,334,-110
P00070,2018-01-26,2018-01-31,航運,C0007,Barcelona,Spain,桌子,傢俱,3,142,51
P00071,2018-01-27,2018-02-02,航運,C0004,Munich,Germany,延長線,辦公品,13,82,-17
P00072,2018-01-27,2018-02-01,快捷,C0008,Bern,Switzerland,電腦椅,傢俱,2,40,15
P00073,2018-01-27,2018-02-01,空運,C0001,London,United Kingdom,投影機,家電,7,367,106
P00074,2018-01-28,2018-02-02,航運,C0007,Berlin,Germany,沙發,傢俱,2,532,47
P00075,2018-01-28,2018-01-31,空運,C0002,London,United Kingdom,櫃子,傢俱,5,132,-5
P00076,2018-01-28,2018-01-31,空運,C0002,Madrid,Spain,護貝機,辦公品,5,90,-51
P00077,2018-01-30,2018-01-30,空運,C0006,Birmingham,United Kingdom,沙發,傢俱,2,162,-30
P00078,2018-01-31,2018-02-05,空運,C0010,Paris,France,電腦椅,傢俱,8,374,25
P00079,2018-01-31,2018-02-05,快捷,C0007,Bristol,United Kingdom,桌子,傢俱,3,839,121
P00080,2018-01-31,2018-02-05,空運,C0008,Paris,France,桌子,傢俱,4,113,56
P00081,2018-01-31,2018-02-06,快捷,C0007,Lisbon,Portugal,椅子,傢俱,6,164,18
P00082,2018-01-31,2018-02-06,空運,C0008,Liverpool,United Kingdom,延長線,辦公品,2,32,9
P00083,2018-01-31,2018-02-06,航運,C0007,Hamburg,Germany,椅子,傢俱,4,2571,103
P00084,2018-01-31,2018-02-06,航運,C0007,London,United Kingdom,護貝機,辦公品,4,1917,518
P00085,2018-01-31,2018-02-06,航運,C0007,Barcelona,Spain,吸塵器,家電,4,122,33
P00086,2018-01-31,2018-02-06,快捷,C0003,Paris,France,沙發,傢俱,6,106,49
P00087,2018-01-31,2018-02-06,快捷,C0010,Rome,Italy,桌子,傢俱,6,62,19
P00088,2018-02-01,2018-02-03,航運,C0007,London,United Kingdom,護貝機,辦公品,2,286,71
P00089,2018-02-01,2018-02-03,航運,C0001,Bristol,United Kingdom,電腦椅,傢俱,5,23,10
P00090,2018-02-01,2018-02-03,空運,C0001,London,United Kingdom,沙發,傢俱,3,41,12
P00091,2018-02-01,2018-02-03,快捷,C0004,Birmingham,United Kingdom,投影機,家電,3,20,10
P00092,2018-02-01,2018-02-03,空運,C0006,Bern,Switzerland,護貝機,辦公品,3,163,68
P00093,2018-02-01,2018-02-05,航運,C0010,Amsterdam,Netherlands,電腦椅,傢俱,5,352,137
P00094,2018-02-02,2018-02-04,快捷,C0004,Hamburg,Germany,護貝機,辦公品,1,334,-110
P00095,2018-02-02,2018-02-04,航運,C0007,Liverpool,United Kingdom,投影機,家電,6,44,-26
P00096,2018-02-02,2018-02-04,空運,C0007,Birmingham,United Kingdom,桌子,傢俱,4,105,-48
P00097,2018-02-02,2018-02-05,空運,C0010,London,United Kingdom,桌子,傢俱,5,95,42
P00098,2018-02-02,2018-02-05,快捷,C0002,Birmingham,United Kingdom,速食麵,食品,3,381,103
P00099,2018-02-02,2018-02-05,空運,C0007,Hamburg,Germany,電腦椅,傢俱,7,1052,105
P00100,2018-02-02,2018-02-05,空運,C0007,Barcelona,Spain,護貝機,辦公品,2,692,-208
P00101,2018-02-02,2018-02-05,航運,C0006,Madrid,Spain,速食麵,食品,4,468,112
P00102,2018-02-02,2018-02-07,空運,C0007,Lisbon,Portugal,沙發,傢俱,2,34,8
P00103,2018-02-03,2018-02-08,空運,C0003,Berlin,Germany,桌子,傢俱,2,30,6
P00104,2018-02-04,2018-02-07,空運,C0005,London,United Kingdom,護貝機,辦公品,4,441,40
P00105,2018-02-04,2018-02-07,航運,C0004,Madrid,Spain,沙發,傢俱,10,884,71
P00106,2018-02-07,2018-02-12,快捷,C0006,Madrid,Spain,櫃子,傢俱,3,185,48
P00107,2018-02-07,2018-02-14,空運,C0001,London,United Kingdom,櫃子,傢俱,2,252,6
P00108,2018-02-07,2018-02-13,空運,C0004,Madrid,Spain,櫃子,傢俱,4,278,133
P00109,2018-02-07,2018-02-13,快捷,C0007,Bern,Switzerland,延長線,辦公品,6,67,8
P00110,2018-02-07,2018-02-12,空運,C0007,Hamburg,Germany,櫃子,傢俱,2,285,-105
P00111,2018-02-08,2018-02-13,航運,C0004,Paris,France,椅子,傢俱,1,58,16
P00112,2018-02-08,2018-02-13,航運,C0004,Paris,France,桌子,傢俱,3,39,8
P00113,2018-02-09,2018-02-15,航運,C0004,Lisbon,Portugal,電腦椅,傢俱,4,203,-304
P00114,2018-02-09,2018-02-15,航運,C0004,Rome,Italy,桌子,傢俱,4,257,-206
P00115,2018-02-09,2018-02-15,快捷,C0007,Bern,Switzerland,櫃子,傢俱,1,25,-21
P00116,2018-02-09,2018-02-15,空運,C0007,Munich,Germany,沙發,傢俱,1,26,-12
P00117,2018-02-09,2018-02-13,航運,C0006,Munich,Germany,護貝機,辦公品,6,137,23
P00118,2018-02-10,2018-02-13,空運,C0004,Birmingham,United Kingdom,護貝機,辦公品,1,9,-8
P00119,2018-02-10,2018-02-13,空運,C0005,Bristol,United Kingdom,吸塵器,家電,7,305,3
P00120,2018-02-10,2018-02-15,空運,C0004,Madrid,Spain,延長線,辦公品,11,6999,2939
P00121,2018-02-10,2018-02-15,航運,C0003,Madrid,Spain,吸塵器,家電,7,307,71
P00122,2018-02-10,2018-02-15,空運,C0002,Paris,France,沙發,傢俱,4,201,24
P00123,2018-02-11,2018-02-15,空運,C0008,Birmingham,United Kingdom,護貝機,辦公品,3,22,4
P00124,2018-02-14,2018-02-18,航運,C0004,Hamburg,Germany,護貝機,辦公品,3,147,62
P00125,2018-02-14,2018-02-18,航運,C0002,Hamburg,Germany,延長線,辦公品,5,254,76
P00126,2018-02-14,2018-02-16,快捷,C0007,Vienna,Austria,電腦椅,傢俱,3,58,5
P00127,2018-02-14,2018-02-16,快捷,C0005,Munich,Germany,電腦椅,傢俱,1,73,30
P00128,2018-02-14,2018-02-18,空運,C0001,London,United Kingdom,沙發,傢俱,4,607,115
P00129,2018-02-14,2018-02-18,空運,C0001,Paris,France,電腦椅,傢俱,2,406,179
P00130,2018-02-14,2018-02-18,空運,C0007,Bern,Switzerland,沙發,傢俱,4,27,5
P00131,2018-02-14,2018-02-18,快捷,C0005,Paris,France,椅子,傢俱,4,156,27
P00132,2018-02-15,2018-02-21,航運,C0003,Madrid,Spain,速食麵,食品,6,1235,-456
P00133,2018-02-15,2018-02-21,航運,C0001,Birmingham,United Kingdom,桌子,傢俱,2,137,-2
P00134,2018-02-15,2018-02-21,航運,C0006,Berlin,Germany,延長線,辦公品,9,921,-172
P00135,2018-02-15,2018-02-19,航運,C0005,Lisbon,Portugal,電腦椅,傢俱,4,1744,645
P00136,2018-02-16,2018-02-21,空運,C0005,Madrid,Spain,桌子,傢俱,2,480,59
P00137,2018-02-16,2018-02-21,空運,C0005,Birmingham,United Kingdom,櫃子,傢俱,3,476,16
P00138,2018-02-16,2018-02-21,快捷,C0008,Liverpool,United Kingdom,護貝機,辦公品,2,292,39
P00139,2018-02-16,2018-02-21,空運,C0001,Madrid,Spain,沙發,傢俱,3,150,-30
P00140,2018-02-16,2018-02-21,航運,C0005,Amsterdam,Netherlands,護貝機,辦公品,1,123,51
P00141,2018-02-16,2018-02-21,航運,C0002,Madrid,Spain,護貝機,辦公品,3,40,9
P00142,2018-02-16,2018-02-21,空運,C0006,Lisbon,Portugal,護貝機,辦公品,7,1211,424
P00143,2018-02-17,2018-02-19,快捷,C0006,Vienna,Austria,桌子,傢俱,5,70,29
P00144,2018-02-17,2018-02-22,快捷,C0005,London,United Kingdom,速食麵,食品,3,127,-26
P00145,2018-02-18,2018-02-21,快捷,C0006,Madrid,Spain,沙發,傢俱,2,14,2
P00146,2018-02-18,2018-02-21,空運,C0006,Berlin,Germany,吸塵器,家電,5,825,55
P00147,2018-02-18,2018-02-21,快捷,C0007,Rome,Italy,電腦椅,傢俱,1,24,10
P00148,2018-02-18,2018-02-20,快捷,C0007,Bern,Switzerland,延長線,辦公品,2,258,-165
P00149,2018-02-18,2018-02-23,快捷,C0009,Berlin,Germany,沙發,傢俱,3,300,18
P00150,2018-02-18,2018-02-24,快捷,C0007,Madrid,Spain,桌子,傢俱,5,82,24
P00151,2018-02-21,2018-02-28,航運,C0007,Barcelona,Spain,打卡機,辦公品,6,150,70
P00152,2018-02-21,2018-02-28,空運,C0003,Birmingham,United Kingdom,沙發,傢俱,2,297,56
P00153,2018-02-21,2018-02-21,空運,C0007,Paris,France,桌子,傢俱,1,93,-7
P00154,2018-02-21,2018-02-21,空運,C0001,London,United Kingdom,護貝機,辦公品,6,173,-104
P00155,2018-02-21,2018-02-23,快捷,C0009,Birmingham,United Kingdom,延長線,辦公品,3,179,70
P00156,2018-02-21,2018-02-25,航運,C0007,London,United Kingdom,延長線,辦公品,3,184,76
P00157,2018-02-21,2018-02-25,快捷,C0007,Bern,Switzerland,速食麵,食品,6,36,8
P00158,2018-02-21,2018-02-25,航運,C0006,Rome,Italy,沙發,傢俱,7,806,-63
P00159,2018-02-21,2018-02-25,航運,C0003,London,United Kingdom,桌子,傢俱,2,25,5
P00160,2018-02-21,2018-02-25,航運,C0005,London,United Kingdom,投影機,家電,2,346,114
P00161,2018-02-21,2018-02-25,航運,C0002,Barcelona,Spain,麥片,食品,5,803,225
P00162,2018-02-22,2018-02-26,快捷,C0007,Munich,Germany,護貝機,辦公品,2,207,44
P00163,2018-02-23,2018-02-26,航運,C0009,London,United Kingdom,護貝機,辦公品,5,2066,41
P00164,2018-02-23,2018-02-26,空運,C0007,Brussels,Belgium,延長線,辦公品,2,17,3
P00165,2018-02-23,2018-02-26,航運,C0007,Barcelona,Spain,冷氣機,家電,4,1527,733
P00166,2018-02-23,2018-02-26,航運,C0006,Birmingham,United Kingdom,護貝機,辦公品,4,169,71
P00167,2018-02-23,2018-02-26,航運,C0007,Birmingham,United Kingdom,櫃子,傢俱,3,98,-29
P00168,2018-02-23,2018-02-26,空運,C0004,Lisbon,Portugal,投影機,家電,2,160,-28
P00169,2018-02-23,2018-02-26,航運,C0005,Bristol,United Kingdom,沙發,傢俱,3,45,0
P00170,2018-02-24,2018-02-25,航運,C0009,Munich,Germany,櫃子,傢俱,5,95,-7
P00171,2018-02-25,2018-03-04,快捷,C0008,London,United Kingdom,延長線,辦公品,9,1527,657
P00172,2018-02-26,2018-02-28,航運,C0002,Bristol,United Kingdom,麥片,食品,3,79,25
P00173,2018-02-26,2018-03-02,航運,C0004,Vienna,Austria,電腦椅,傢俱,3,287,-45
P00174,2018-02-26,2018-03-03,航運,C0001,Hamburg,Germany,延長線,辦公品,1,59,10
P00175,2018-02-28,2018-03-05,航運,C0007,Hamburg,Germany,桌子,傢俱,3,120,11
P00176,2018-02-28,2018-03-05,空運,C0007,Amsterdam,Netherlands,櫃子,傢俱,5,125,41
P00177,2018-02-28,2018-03-04,快捷,C0001,Hamburg,Germany,椅子,傢俱,10,401,-5
P00178,2018-02-28,2018-03-04,空運,C0006,Liverpool,United Kingdom,電腦椅,傢俱,3,811,-600
P00179,2018-02-28,2018-03-04,空運,C0007,London,United Kingdom,延長線,辦公品,2,311,-224
P00180,2018-02-28,2018-03-04,航運,C0003,Bern,Switzerland,冷氣機,家電,7,140,7
P00181,2018-02-28,2018-03-04,航運,C0005,Birmingham,United Kingdom,吸塵器,家電,2,115,-51
P00182,2018-02-28,2018-03-08,航運,C0002,Birmingham,United Kingdom,延長線,辦公品,1,18,-10
P00183,2018-03-02,2018-03-06,空運,C0004,Rome,Italy,速食麵,食品,7,352,60
P00184,2018-03-02,2018-03-04,空運,C0001,Bern,Switzerland,櫃子,傢俱,2,215,7
P00185,2018-03-02,2018-03-04,航運,C0001,Bern,Switzerland,速食麵,食品,2,13,-1
P00186,2018-03-02,2018-03-04,航運,C0010,Lisbon,Portugal,桌子,傢俱,1,24,9
P00187,2018-03-02,2018-03-06,快捷,C0003,Madrid,Spain,桌子,傢俱,6,22,4
P00188,2018-03-02,2018-03-07,空運,C0007,London,United Kingdom,延長線,辦公品,2,239,62
P00189,2018-03-02,2018-03-07,航運,C0010,Hamburg,Germany,護貝機,辦公品,9,109,-74
P00190,2018-03-02,2018-03-06,航運,C0006,Lisbon,Portugal,打卡機,辦公品,1,92,-46
P00191,2018-03-02,2018-03-06,空運,C0004,Lisbon,Portugal,護貝機,辦公品,3,24,-8
P00192,2018-03-03,2018-03-07,快捷,C0006,Bern,Switzerland,延長線,辦公品,3,258,31
P00193,2018-03-03,2018-03-03,快捷,C0010,Lisbon,Portugal,冷氣機,家電,3,1055,-34
P00194,2018-03-03,2018-03-03,空運,C0007,Hamburg,Germany,護貝機,辦公品,2,682,187
P00195,2018-03-03,2018-03-08,航運,C0007,Lisbon,Portugal,電腦椅,傢俱,8,107,16
P00196,2018-03-03,2018-03-08,空運,C0001,Amsterdam,Netherlands,延長線,辦公品,6,776,95
P00197,2018-03-03,2018-03-08,空運,C0003,Brussels,Belgium,椅子,傢俱,7,775,146
P00198,2018-03-03,2018-03-08,快捷,C0009,Berlin,Germany,桌子,傢俱,2,46,5
P00199,2018-03-04,2018-03-09,航運,C0007,Barcelona,Spain,延長線,辦公品,6,1096,66
P00200,2018-03-04,2018-03-09,空運,C0010,Madrid,Spain,延長線,辦公品,3,731,161
P00201,2018-03-05,2018-03-10,快捷,C0006,Munich,Germany,護貝機,辦公品,3,555,0
P00202,2018-03-08,2018-03-11,快捷,C0001,London,United Kingdom,延長線,辦公品,1,122,45
P00203,2018-03-09,2018-03-13,快捷,C0008,Birmingham,United Kingdom,冷氣機,家電,2,954,38
P00204,2018-03-09,2018-03-13,快捷,C0004,Rome,Italy,麥片,食品,9,543,-7
P00205,2018-03-09,2018-03-11,航運,C0008,Munich,Germany,沙發,傢俱,4,72,-64
P00206,2018-03-09,2018-03-14,航運,C0005,Bristol,United Kingdom,櫃子,傢俱,3,900,297
P00207,2018-03-09,2018-03-14,航運,C0010,Paris,France,延長線,辦公品,6,88,20
P00208,2018-03-09,2018-03-14,航運,C0007,London,United Kingdom,延長線,辦公品,5,76,18
P00209,2018-03-09,2018-03-14,快捷,C0005,Paris,France,桌子,傢俱,3,1330,293
P00210,2018-03-09,2018-03-13,空運,C0008,Hamburg,Germany,打卡機,辦公品,7,317,14
P00211,2018-03-09,2018-03-13,空運,C0003,Paris,France,沙發,傢俱,7,861,143
P00212,2018-03-09,2018-03-13,空運,C0007,Munich,Germany,護貝機,辦公品,1,124,40
P00213,2018-03-09,2018-03-13,空運,C0001,Hamburg,Germany,桌子,傢俱,4,143,-13
P00214,2018-03-10,2018-03-14,空運,C0006,Madrid,Spain,延長線,辦公品,6,103,-1
P00215,2018-03-11,2018-03-13,空運,C0007,Paris,France,延長線,辦公品,4,1274,382
P00216,2018-03-11,2018-03-17,空運,C0006,Vienna,Austria,延長線,辦公品,8,1097,252
P00217,2018-03-12,2018-03-16,快捷,C0001,Paris,France,椅子,傢俱,9,259,63
P00218,2018-03-12,2018-03-14,空運,C0007,Liverpool,United Kingdom,冷氣機,家電,2,12,0
P00219,2018-03-13,2018-03-17,空運,C0005,Berlin,Germany,桌子,傢俱,5,242,-6
P00220,2018-03-13,2018-03-18,空運,C0004,Bern,Switzerland,沙發,傢俱,1,44,7
P00221,2018-03-13,2018-03-18,快捷,C0004,Birmingham,United Kingdom,桌子,傢俱,4,285,91
P00222,2018-03-13,2018-03-18,空運,C0005,Berlin,Germany,電腦椅,傢俱,6,94,31
P00223,2018-03-13,2018-03-18,快捷,C0005,Munich,Germany,桌子,傢俱,7,3272,1538
P00224,2018-03-15,2018-03-16,快捷,C0008,Birmingham,United Kingdom,速食麵,食品,2,17,3
P00225,2018-03-15,2018-03-18,航運,C0001,Birmingham,United Kingdom,吸塵器,家電,2,38,13
P00226,2018-03-16,2018-03-20,航運,C0007,Berlin,Germany,桌子,傢俱,2,341,123
P00227,2018-03-16,2018-03-20,快捷,C0010,Brussels,Belgium,護貝機,辦公品,9,380,53
P00228,2018-03-16,2018-03-20,航運,C0005,Vienna,Austria,延長線,辦公品,3,154,28
P00229,2018-03-16,2018-03-20,航運,C0010,Rome,Italy,護貝機,辦公品,5,66,33
P00230,2018-03-16,2018-03-20,空運,C0002,Berlin,Germany,冷氣機,家電,7,48,-14
P00231,2018-03-17,2018-03-17,快捷,C0007,Rome,Italy,沙發,傢俱,6,50,0
P00232,2018-03-17,2018-03-21,航運,C0007,Hamburg,Germany,沙發,傢俱,3,47,-4
P00233,2018-03-17,2018-03-23,航運,C0004,Lisbon,Portugal,椅子,傢俱,6,159,51
P00234,2018-03-19,2018-03-22,快捷,C0010,Lisbon,Portugal,沙發,傢俱,4,176,8
P00235,2018-03-19,2018-03-23,空運,C0001,Birmingham,United Kingdom,電腦椅,傢俱,9,543,70
P00236,2018-03-19,2018-03-24,快捷,C0001,London,United Kingdom,投影機,家電,4,596,0
P00237,2018-03-19,2018-03-24,航運,C0006,Munich,Germany,沙發,傢俱,2,17,1
P00238,2018-03-19,2018-03-24,空運,C0007,Munich,Germany,沙發,傢俱,3,49,6
P00239,2018-03-19,2018-03-23,快捷,C0007,Madrid,Spain,護貝機,辦公品,1,138,35
P00240,2018-03-19,2018-03-26,空運,C0005,Brussels,Belgium,椅子,傢俱,4,140,56
P00241,2018-03-22,2018-03-27,航運,C0007,Madrid,Spain,打卡機,辦公品,3,188,2
P00242,2018-03-22,2018-03-27,航運,C0006,Birmingham,United Kingdom,櫃子,傢俱,2,103,39
P00243,2018-03-22,2018-03-27,空運,C0003,Vienna,Austria,護貝機,辦公品,2,20,9
P00244,2018-03-22,2018-03-26,航運,C0007,London,United Kingdom,速食麵,食品,9,2314,836
P00245,2018-03-22,2018-03-26,空運,C0002,Munich,Germany,櫃子,傢俱,6,781,55
P00246,2018-03-22,2018-03-26,快捷,C0004,Madrid,Spain,沙發,傢俱,2,97,44
P00247,2018-03-22,2018-03-26,空運,C0008,Vienna,Austria,沙發,傢俱,2,93,30
P00248,2018-03-23,2018-03-28,航運,C0002,Bern,Switzerland,麥片,食品,5,119,-7
P00249,2018-03-23,2018-03-27,航運,C0006,Munich,Germany,麥片,食品,3,26,1
P00250,2018-03-23,2018-03-29,空運,C0004,Madrid,Spain,櫃子,傢俱,5,394,75
P00251,2018-03-23,2018-03-26,空運,C0009,London,United Kingdom,櫃子,傢俱,1,58,16
P00252,2018-03-23,2018-03-26,空運,C0006,Madrid,Spain,護貝機,辦公品,2,273,46
P00253,2018-03-24,2018-03-30,快捷,C0008,London,United Kingdom,沙發,傢俱,7,172,2
P00254,2018-03-24,2018-03-30,空運,C0006,Birmingham,United Kingdom,櫃子,傢俱,3,11,2
P00255,2018-03-24,2018-03-30,航運,C0007,Rome,Italy,延長線,辦公品,3,29,9
P00256,2018-03-24,2018-03-27,航運,C0006,Hamburg,Germany,沙發,傢俱,4,44,17
P00257,2018-03-24,2018-03-27,空運,C0004,Birmingham,United Kingdom,櫃子,傢俱,3,275,20
P00258,2018-03-24,2018-03-27,航運,C0005,Paris,France,冷氣機,家電,3,363,88
P00259,2018-03-24,2018-03-27,空運,C0003,Bern,Switzerland,櫃子,傢俱,2,48,-26
P00260,2018-03-24,2018-03-27,航運,C0008,Hamburg,Germany,電腦椅,傢俱,1,137,26
P00261,2018-03-24,2018-03-29,快捷,C0007,Vienna,Austria,桌子,傢俱,3,508,-78
P00262,2018-03-25,2018-03-27,航運,C0001,Bern,Switzerland,麥片,食品,2,31,7
P00263,2018-03-25,2018-03-27,航運,C0007,Paris,France,櫃子,傢俱,5,33,10
P00264,2018-03-25,2018-03-27,空運,C0008,Bern,Switzerland,櫃子,傢俱,2,109,14
P00265,2018-03-25,2018-03-31,快捷,C0010,Bern,Switzerland,櫃子,傢俱,2,30,11
P00266,2018-03-26,2018-03-31,航運,C0002,London,United Kingdom,速食麵,食品,2,25,3
P00267,2018-03-26,2018-03-27,空運,C0005,Hamburg,Germany,沙發,傢俱,2,61,30
P00268,2018-03-26,2018-03-27,快捷,C0007,Barcelona,Spain,沙發,傢俱,3,413,116
P00269,2018-03-26,2018-03-27,快捷,C0006,Munich,Germany,沙發,傢俱,2,191,40
P00270,2018-03-26,2018-03-30,航運,C0005,Lisbon,Portugal,椅子,傢俱,4,19,-2
P00271,2018-03-26,2018-03-30,航運,C0005,Amsterdam,Netherlands,護貝機,辦公品,5,38,4
P00272,2018-03-26,2018-03-30,航運,C0005,Berlin,Germany,護貝機,辦公品,7,71,-51
P00273,2018-03-26,2018-03-26,航運,C0007,Berlin,Germany,沙發,傢俱,1,9,2
P00274,2018-03-27,2018-04-02,空運,C0003,Amsterdam,Netherlands,桌子,傢俱,8,68,31
